Year,Month,Province,PM2.5
2020,Jul,นครพนม,10.0
2020,Jul,เลย,10.0
2020,Jul,หนองคาย,11.5
2020,Jul,อุบลราชธานี,9.5
2020,Jul,สกลนคร,7.5
2020,Jul,อุดรธานี,8.5
2020,Jul,บุรีรัมย์,7.333333333333333
2020,Jul,มุกดาหาร,12.666666666666666
2020,Jul,บึงกาฬ,9.0
2020,Jul,กาฬสินธุ์,16.0
2020,Jul,ชัยภูมิ,9.0
2020,Jul,ยโสธร,9.0
2020,Jul,อำนาจเจริญ,7.0
2020,Jul,สุรินทร์,7.0
2020,Jul,ศรีสะเกษ,7.0
2020,Jul,ร้อยเอ็ด,10.675179487179488
2020,Jul,มหาสารคาม,10.675179487179488
2020,Jul,หนองบัวลำภู,10.675179487179488
2020,Jul,ฉะเชิงเทรา,11.0
2020,Jul,ชลบุรี,11.0
2020,Jul,ตราด,8.25
2020,Jul,ระยอง,9.6
2020,Jul,สระแก้ว,7.0
2020,Jul,ปราจีนบุรี,13.0
2020,Jul,จันทบุรี,8.666666666666666
2020,Jul,นครนายก,12.0
2020,Jul,กาญจนบุรี,8.0
2020,Jul,ราชบุรี,10.0
2020,Jul,สุพรรณบุรี,9.0
2020,Jul,ประจวบคีรีขันธ์,9.333333333333334
2020,Jul,เพชรบุรี,10.675179487179488
2020,Jul,นราธิวาส,11.0
2020,Jul,นครศรีธรรมราช,12.0
2020,Jul,ภูเก็ต,14.0
2020,Jul,ยะลา,10.0
2020,Jul,สงขลา,19.0
2020,Jul,สุราษฎร์ธานี,14.0
2020,Jul,สตูล,9.0
2020,Jul,ตรัง,12.0
2020,Jul,ชุมพร,10.675179487179488
2020,Jul,กระบี่,10.675179487179488
2020,Jul,พัทลุง,10.675179487179488
2020,Jul,ปัตตานี,10.675179487179488
2020,Jul,ระนอง,10.675179487179488
2020,Jul,พังงา,10.675179487179488
2020,Aug,กรุงเทพมหานคร,14.166666666666666
2020,Aug,นนทบุรี,10.5
2020,Aug,ปทุมธานี,13.0
2020,Aug,สมุทรปราการ,14.2
2020,Aug,สมุทรสาคร,14.5
2020,Aug,นครปฐม,8.0
2020,Aug,พระนครศรีอยุธยา,12.0
2020,Aug,สระบุรี,17.0
2020,Aug,ลพบุรี,15.0
2020,Aug,สิงห์บุรี,13.0
2020,Aug,อ่างทอง,11.643538461538462
2020,Aug,ชัยนาท,11.643538461538462
2020,Aug,สมุทรสงคราม,9.0
2020,Aug,นครสวรรค์,12.0
2020,Aug,อุทัยธานี,13.333333333333334
2020,Aug,เชียงราย,8.5
2020,Aug,เชียงใหม่,9.0
2020,Aug,น่าน,7.5
2020,Aug,พะเยา,7.0
2020,Aug,พิษณุโลก,12.0
2020,Aug,แพร่,9.0
2020,Aug,แม่ฮ่องสอน,5.0
2020,Aug,ลำปาง,7.0
2020,Aug,ลำพูน,19.0
2020,Aug,ตาก,7.0
2020,Aug,อุตรดิตถ์,12.25
2020,Aug,สุโขทัย,9.0
2020,Aug,พิจิตร,11.0
2020,Aug,เพชรบูรณ์,12.333333333333334
2020,Aug,กำแพงเพชร,9.0
2020,Aug,ขอนแก่น,16.0
2020,Aug,นครราชสีมา,15.0
2020,Aug,นครพนม,12.0
2020,Aug,เลย,9.0
2020,Aug,หนองคาย,11.75
2020,Aug,อุบลราชธานี,10.25
2020,Aug,สกลนคร,9.25
2020,Aug,อุดรธานี,10.5
2020,Aug,บุรีรัมย์,8.333333333333334
2020,Aug,มุกดาหาร,15.333333333333334
2020,Aug,บึงกาฬ,9.0
