Station,Year,Month,PM2.5
36T,2020,Nov,17.0
36T,2020,Dec,24.0
73T,2020,Jan,38.0
73T,2020,Feb,63.0
73T,2020,Apr,87.0
73T,2020,May,24.0
73T,2020,Jul,10.0
73T,2020,Aug,9.0
73T,2020,Sep,11.0
73T,2020,Oct,11.0
73T,2020,Nov,17.0
73T,2020,Dec,27.0
41T,2020,Jan,50.0
41T,2020,Feb,45.0
41T,2020,Mar,39.0
41T,2020,Apr,30.0
41T,2020,May,18.0
41T,2020,Jun,13.0
41T,2020,Jul,15.0
41T,2020,Aug,12.0
41T,2020,Sep,13.0
41T,2020,Oct,14.0
41T,2020,Nov,26.0
41T,2020,Dec,30.0
84T,2020,Jan,
57T,2020,Jan,28.0
57T,2020,Feb,50.0
57T,2020,Mar,108.0
57T,2020,Apr,65.0
57T,2020,May,20.0
57T,2020,Jun,9.0
57T,2020,Jul,8.0
57T,2020,Aug,8.0
57T,2020,Sep,10.0
57T,2020,Oct,11.0
57T,2020,Nov,16.0
57T,2020,Dec,27.0
21T,2020,Jan,49.0
21T,2020,Feb,49.0
21T,2020,Mar,30.0
21T,2020,Apr,24.0
21T,2020,May,16.0
21T,2020,Jun,9.0
21T,2020,Jul,10.0
21T,2020,Aug,12.0
21T,2020,Sep,11.0
21T,2020,Oct,14.0
21T,2020,Nov,24.0
21T,2020,Dec,28.0
25T,2020,Jan,53.0
25T,2020,Feb,55.0
25T,2020,Mar,32.0
25T,2020,Apr,26.0
25T,2020,May,19.0
25T,2020,Jun,11.0
25T,2020,Jul,13.0
25T,2020,Aug,16.0
25T,2020,Sep,15.0
25T,2020,Oct,17.0
25T,2020,Nov,23.0
25T,2020,Dec,31.0
26T,2020,Jan,58.0
26T,2020,Feb,51.0
26T,2020,Apr,25.0
26T,2020,May,16.0
26T,2020,Jul,10.0
26T,2020,Aug,10.0
26T,2020,Sep,8.0
26T,2020,Oct,14.0
26T,2020,Nov,28.0
26T,2020,Dec,18.0
79T,2020,Jan,66.0
79T,2020,Feb,59.0
79T,2020,Mar,41.0
79T,2020,Apr,35.0
79T,2020,May,15.0
79T,2020,Jun,8.0
79T,2020,Jul,8.0
79T,2020,Aug,9.0
79T,2020,Sep,8.0
79T,2020,Oct,14.0
79T,2020,Nov,27.0
79T,2020,Dec,31.0
24T,2020,Jan,63.0
24T,2020,Feb,63.0
24T,2020,Mar,38.0
24T,2020,Apr,33.0
24T,2020,May,24.0
24T,2020,Jun,17.0
24T,2020,Jul,17.0
24T,2020,Aug,18.0
24T,2020,Sep,19.0
24T,2020,Oct,22.0
24T,2020,Nov,33.0
24T,2020,Dec,33.0
62T,2020,Jan,17.0
62T,2020,Feb,16.0
62T,2020,Mar,16.0
62T,2020,Apr,12.0
62T,2020,May,21.0
62T,2020,Jun,11.0
62T,2020,Jul,11.0
62T,2020,Aug,16.0
62T,2020,Sep,14.0
62T,2020,Oct,12.0
62T,2020,Nov,17.0
62T,2020,Dec,12.0
63T,2020,Jan,19.0
63T,2020,Feb,17.0
63T,2020,Mar,14.0
63T,2020,Apr,11.0
63T,2020,May,15.0
63T,2020,Jun,16.0
63T,2020,Jul,15.0
63T,2020,Aug,19.0
63T,2020,Sep,16.0
63T,2020,Oct,15.0
63T,2020,Nov,18.0
63T,2020,Dec,14.0
44T,2020,Jan,16.0
44T,2020,Feb,17.0
44T,2020,Apr,12.0
44T,2020,May,18.0
44T,2020,Jul,19.0
44T,2020,Aug,21.0
44T,2020,Sep,22.0
44T,2020,Oct,22.0
44T,2020,Nov,25.0
44T,2020,Dec,26.0
43T,2020,Jan,16.0
43T,2020,Feb,15.0
43T,2020,Mar,14.0
43T,2020,Apr,10.0
43T,2020,May,11.0
43T,2020,Jun,14.0
43T,2020,Jul,14.0
43T,2020,Aug,16.0
43T,2020,Sep,13.0
43T,2020,Oct,14.0
43T,2020,Nov,18.0
43T,2020,Dec,20.0
61T,2021,Jan,34.0
61T,2021,Feb,34.0
61T,2021,Mar,23.0
